"key","context","english","indonesian","malay","status"
"gus.journal","","Gus’s Training Journal","Jurnal Latihan Gus","Jurnal Latihan Gus","draft"
"gus.evidence","","evidence-labeled training notes","catatan latihan berlabel bukti","nota latihan berlabel bukti","draft"
"gus.how_trains","","How Gus Trains","Cara Gus Berlatih","Cara Gus Berlatih","draft"
"gus.training_copy","","On each successful scheduled review, Gus backfills every unstudied completed game, checks candidate opening lines, and only promotes changes that pass his evidence gate.","Pada setiap tinjauan terjadwal yang berhasil, Gus mempelajari semua permainan selesai yang belum ditinjau, memeriksa kandidat pembukaan, dan hanya menerapkan perubahan yang lolos pemeriksaan bukti.","Pada setiap semakan berjadual yang berjaya, Gus mengkaji semua permainan selesai yang belum dipelajari, menyemak calon pembukaan dan hanya menerima perubahan yang melepasi penilaian bukti.","draft"
"gus.games_studied","","Games studied","Permainan dipelajari","Permainan dikaji","draft"
"gus.book_lines","","Book lines","Varian buku","Jalur buku","draft"
"gus.scouted","","Scouted","Dipantau","Ditinjau","draft"
"gus.lessons","","Lessons learned","Pelajaran yang dipetik","Pelajaran dipelajari","draft"
"gus.opening","","Opening repertoire","Repertoar pembukaan","Repertoir pembukaan","draft"
"gus.recent_matches","","Recent Matches","Pertandingan Terbaru","Perlawanan Terkini","draft"
"club.membership","","Membership","Keanggotaan","Keahlian","draft"
"club.change_plan","","‹ Change plan","‹ Ubah paket","‹ Tukar pelan","draft"
"club.loading_payment","","Loading secure payment form…","Memuat formulir pembayaran aman…","Memuatkan borang pembayaran selamat…","draft"
"club.manage","","Manage subscription","Kelola langganan","Urus langganan","draft"
"club.restore","","Restore Purchases","Pulihkan Pembelian","Pulihkan Pembelian","draft"
"club.terms_note","","Monthly plans auto-renew until cancelled; you can cancel anytime and keep access until the period ends. Ethan Coins have no cash value and are non-refundable and non-transferable outside gifting. See the","Paket bulanan diperpanjang otomatis hingga dibatalkan; kamu dapat membatalkan kapan saja dan tetap memiliki akses sampai periode berakhir. Koin Ethan tidak memiliki nilai tunai, tidak dapat dikembalikan, dan tidak dapat dipindahtangankan selain sebagai hadiah. Lihat","Pelan bulanan diperbaharui secara automatik sehingga dibatalkan; anda boleh membatalkan pada bila-bila masa dan mengekalkan akses sehingga tempoh berakhir. Syiling Ethan tiada nilai tunai, tidak boleh dikembalikan dan tidak boleh dipindah milik kecuali sebagai hadiah. Lihat","draft"
"club.terms_suffix","","for details.","untuk detailnya.","untuk butiran.","draft"
"social.offline","","Offline friends","Teman luring","Rakan luar talian","draft"
"social.offline_help","","Open a friend’s profile to view their stats and match history.","Buka profil teman untuk melihat statistik dan riwayat pertandingan mereka.","Buka profil rakan untuk melihat statistik dan sejarah perlawanan mereka.","draft"
"invite.create_play","","Create Account — Play Now","Buat Akun — Main Sekarang","Cipta Akaun — Main Sekarang","draft"
"auth.have_account_lower","","already have an account?","sudah punya akun?","sudah mempunyai akaun?","draft"
"auth.google_signin","","Sign in with Google","Masuk dengan Google","Log masuk dengan Google","draft"
"auth.apple_signin","","Sign in with Apple","Masuk dengan Apple","Log masuk dengan Apple","draft"
"auth.password_signin","","Log in with password","Masuk dengan kata sandi","Log masuk dengan kata laluan","draft"
"auth.forgot_lower","","Forgot password?","Lupa kata sandi?","Lupa kata laluan?","draft"
"auth.create_join","","Create an account to join","Buat akun untuk bergabung","Cipta akaun untuk menyertai","draft"
"auth.just_browsing","","← Just browsing","← Hanya melihat-lihat","← Sekadar melihat-lihat","draft"
"auth.pick_up","","Pick up where you left off with your username or email.","Lanjutkan dari tempat terakhir dengan nama pengguna atau emailmu.","Sambung dari tempat terakhir dengan nama pengguna atau e-mel anda.","draft"
"auth.prefer_google","","Prefer Google?","Lebih suka Google?","Lebih suka Google?","draft"
"auth.prefer_apple","","Prefer Apple?","Lebih suka Apple?","Lebih suka Apple?","draft"
"common.back_arrow","","← Back","← Kembali","← Kembali","draft"
"auth.reset_help","","Enter your account email and we’ll send you a verification code.","Masukkan email akunmu dan kami akan mengirimkan kode verifikasi.","Masukkan e-mel akaun anda dan kami akan menghantar kod pengesahan.","draft"
"auth.reset_instructions","","Check your email, then enter the verification code and a new password below.","Periksa emailmu, lalu masukkan kode verifikasi dan kata sandi baru di bawah.","Semak e-mel anda, kemudian masukkan kod pengesahan dan kata laluan baharu di bawah.","draft"
"auth.remembered","","Remembered it?","Sudah ingat?","Sudah ingat?","draft"
"auth.back_signin","","Back to sign in","Kembali untuk masuk","Kembali untuk log masuk","draft"
"auth.create_help","","Save your progress, invite friends, and join the leaderboard.","Simpan progres, undang teman, dan bergabunglah di papan peringkat.","Simpan kemajuan, jemput rakan dan sertai papan pendahulu.","draft"
"auth.terms_consent","","I agree to the Terms of Use and Community Standards, including the zero-tolerance rules for abusive or objectionable content.","Saya menyetujui Ketentuan Penggunaan dan Standar Komunitas, termasuk aturan tanpa toleransi terhadap konten kasar atau tidak pantas.","Saya bersetuju dengan Terma Penggunaan dan Piawaian Komuniti, termasuk peraturan toleransi sifar terhadap kandungan kesat atau tidak menyenangkan.","draft"
"child.ask_adult","","Ask a grown-up to set you up!","Minta orang dewasa menyiapkan akunmu!","Minta orang dewasa menyediakan akaun anda!","draft"
"child.instructions","","Players your age get their chess account from a parent or guardian. Here's what they do:","Pemain seusiamu mendapatkan akun catur dari orang tua atau wali. Berikut yang harus mereka lakukan:","Pemain seusia anda mendapatkan akaun catur daripada ibu bapa atau penjaga. Inilah yang perlu mereka lakukan:","draft"
"child.signin_step","","Sign in — or create their own free account","Masuk — atau buat akun gratis mereka sendiri","Log masuk — atau cipta akaun percuma mereka sendiri","draft"
"child.home_step","","on the home screen","di layar beranda","pada skrin utama","draft"
"child.tap","","Tap","Ketuk","Ketik","draft"
"child.add_account","","Add Child Account","Tambah Akun Anak","Tambah Akaun Kanak-kanak","draft"
"child.name_step","","and pick your player name together","dan pilih nama pemainmu bersama-sama","dan pilih nama pemain anda bersama-sama","draft"
"child.play_step","","Then you sign in and the whole family can play!","Lalu kamu masuk dan seluruh keluarga dapat bermain!","Kemudian anda log masuk dan seluruh keluarga boleh bermain!","draft"
"common.got_it","","Got it","Mengerti","Faham","draft"
"legal.intro","","Open each document, confirm your acceptance, and continue to Ethan's Chess.","Buka setiap dokumen, konfirmasikan persetujuanmu, lalu lanjutkan ke Catur Ethan.","Buka setiap dokumen, sahkan persetujuan anda dan teruskan ke Catur Ethan.","draft"
"legal.zero_reviewed","","0 of 0 reviewed","0 dari 0 ditinjau","0 daripada 0 disemak","draft"
"legal.accept_above","","Accept the documents above","Setujui dokumen di atas","Terima dokumen di atas","draft"
"legal.confirm_copy","","I confirm that I reviewed and agree to the current versions of all required documents.","Saya mengonfirmasi bahwa saya telah meninjau dan menyetujui versi terkini semua dokumen wajib.","Saya mengesahkan bahawa saya telah menyemak dan bersetuju dengan versi semasa semua dokumen yang diperlukan.","draft"
"legal.recorded","","Your acceptance is recorded securely with your AGS account. You can review it later from Privacy & Legal.","Persetujuanmu dicatat dengan aman di akun AGS. Kamu dapat meninjaunya nanti dari Privasi & Hukum.","Persetujuan anda direkodkan dengan selamat pada akaun AGS. Anda boleh menyemaknya kemudian melalui Privasi & Undang-undang.","draft"
"legal.review_continue","","Review documents to continue","Tinjau dokumen untuk melanjutkan","Semak dokumen untuk meneruskan","draft"
"setup.color_help","","Choose which side of the board you want to play.","Pilih sisi papan yang ingin kamu mainkan.","Pilih bahagian papan yang anda mahu mainkan.","draft"
"setup.difficulty_help","","You can start another game at a different level any time.","Kamu dapat memulai permainan lain dengan tingkat berbeda kapan saja.","Anda boleh memulakan permainan lain pada tahap berbeza pada bila-bila masa.","draft"
"journal.back","","← Back to Journal","← Kembali ke Jurnal","← Kembali ke Jurnal","draft"
"coach.warning","","Hmm — that move gives something away. Want another look?","Hmm — langkah itu membuatmu kehilangan sesuatu. Mau melihat lagi?","Hmm — langkah itu melepaskan sesuatu. Mahu lihat semula?","draft"
"coach.take_back","","↩ Take it back","↩ Tarik kembali","↩ Tarik balik","draft"
"coach.play_on","","Play on","Lanjut bermain","Teruskan bermain","draft"
"game.chat_unlock","","Chat unlocks when you and your opponent are friends.","Obrolan terbuka saat kamu dan lawan sudah berteman.","Sembang dibuka apabila anda dan lawan menjadi rakan.","draft"
"game.chat_online","","Chat is available in online games.","Obrolan tersedia dalam permainan daring.","Sembang tersedia dalam permainan dalam talian.","draft"
"game.wait_gus","","♞ While you wait, meet Gambit Gus →","♞ Sambil menunggu, kenali Gambit Gus →","♞ Sementara menunggu, temui Gambit Gus →","draft"
"common.cancel_arrow","","← Cancel","← Batal","← Batal","draft"
"game.send_invite","","Send Invite","Kirim Undangan","Hantar Jemputan","draft"
"contact.add","","+ Add Contact","+ Tambah Kontak","+ Tambah Kenalan","draft"
"game.versus","","vs","lawan","lwn.","draft"
"common.prev","","Prev","Sebelumnya","Sebelumnya","draft"
"review.analysis","","Move Analysis","Analisis Langkah","Analisis Langkah","draft"
"review.live","","Live · updates every 3 seconds","Langsung · diperbarui setiap 3 detik","Langsung · dikemas kini setiap 3 saat","draft"
"game.promote_help","","Choose the piece to promote to:","Pilih buah catur untuk promosi:","Pilih buah catur untuk dinaikkan pangkat:","draft"
"game.add_opponent_title","","Add Opponent","Tambah Lawan","Tambah Lawan","draft"
"journal.reflect","","📓 Reflect in your journal","📓 Refleksikan dalam jurnalmu","📓 Catat refleksi dalam jurnal anda","draft"
"review.game","","🔍 Review game","🔍 Tinjau permainan","🔍 Semak permainan","draft"
"resume.prefix","","You have a game in progress vs","Kamu memiliki permainan yang sedang berlangsung melawan","Anda mempunyai permainan yang sedang berlangsung menentang","draft"
"resume.opponent","","Opponent","Lawan","Lawan","draft"
"resume.suffix","",". Resume it?","。Lanjutkan?","。Sambung semula?","draft"
"safety.choose","","Choose an action for this opponent.","Pilih tindakan untuk lawan ini.","Pilih tindakan untuk lawan ini.","draft"
"safety.tell","","Tell us what happened.","Ceritakan apa yang terjadi.","Beritahu kami apa yang berlaku.","draft"
"safety.block_after","","Block this player after reporting","Blokir pemain ini setelah melapor","Sekat pemain ini selepas membuat laporan","draft"
"deletion.warning","","Permanently deleting your account removes access to your profile, friends, stats, achievements, and match history. This cannot be undone.","Menghapus akun secara permanen akan menghilangkan akses ke profil, teman, statistik, pencapaian, dan riwayat pertandingan. Tindakan ini tidak dapat dibatalkan.","Memadamkan akaun secara kekal akan menghapus akses kepada profil, rakan, statistik, pencapaian dan sejarah perlawanan. Tindakan ini tidak boleh dibatalkan.","draft"
"deletion.type","","Type","Ketik","Taip","draft"
"deletion.confirm_word","","DELETE","HAPUS","PADAM","draft"
"deletion.to_confirm","","to confirm","untuk mengonfirmasi","untuk mengesahkan","draft"
"deletion.button","","Delete My Account","Hapus Akun Saya","Padam Akaun Saya","draft"
"queue.copy","","Our servers are busy right now. We'll sign you in automatically the moment it's your turn — no need to retry.","Server kami sedang sibuk. Kami akan memasukkanmu secara otomatis saat giliranmu tiba — tidak perlu mencoba lagi.","Pelayan kami sedang sibuk. Kami akan melog masuk anda secara automatik apabila tiba giliran anda — tidak perlu mencuba semula.","draft"
"rematch.badge","","🔄 Rematch","🔄 Tanding Ulang","🔄 Perlawanan Semula","draft"
"rematch.copy","","Your opponent wants a rematch!","Lawanmu ingin bertanding ulang!","Lawan anda mahu perlawanan semula!","draft"
"invite.match","","Match Invite","Undangan Pertandingan","Jemputan Perlawanan","draft"
"invite.friend","","A friend invited you to play","Seorang teman mengundangmu bermain","Seorang rakan menjemput anda bermain","draft"
"invite.accept_now","","Accept to join the match now.","Terima untuk bergabung dalam pertandingan sekarang.","Terima untuk menyertai perlawanan sekarang.","draft"
"family.time","","👨‍👩‍👧 Family Time","👨‍👩‍👧 Waktu Keluarga","👨‍👩‍👧 Masa Keluarga","draft"
"family.online","","A family member is online","Seorang anggota keluarga sedang daring","Seorang ahli keluarga sedang dalam talian","draft"
"family.play_copy","","Up for a game together?","Mau bermain bersama?","Mahu bermain bersama?","draft"
"common.play_now","","Play Now","Main Sekarang","Main Sekarang","draft"
"common.not_now","","Not Now","Nanti Saja","Bukan Sekarang","draft"
"video.connecting","","Connecting","Menghubungkan","Menyambung","draft"
"video.high_quality","","High quality","Kualitas tinggi","Kualiti tinggi","draft"
"video.start_help","","Tap to start video and audio","Ketuk untuk memulai video dan audio","Ketik untuk memulakan video dan audio","draft"
"video.default_microphone","","Default microphone","Mikrofon bawaan","Mikrofon lalai","draft"
"video.default_camera","","Default camera","Kamera bawaan","Kamera lalai","draft"
"video.switch_camera","","Switch front/back camera","Ganti kamera depan/belakang","Tukar kamera depan/belakang","draft"
"video.title_emoji","","📹 Video Chat","📹 Obrolan Video","📹 Sembang Video","draft"
"video.invite","","Your opponent wants to video chat","Lawanmu ingin mengobrol lewat video","Lawan anda mahu bersembang melalui video","draft"
"privacy.analytics_help","","Help improve Ethan's Chess by sharing device, session, referral, and gameplay events with AccelByte. No advertising.","Bantu tingkatkan Catur Ethan dengan membagikan peristiwa perangkat, sesi, rujukan, dan permainan kepada AccelByte. Tanpa iklan.","Bantu tingkatkan Catur Ethan dengan berkongsi peristiwa peranti, sesi, rujukan dan permainan dengan AccelByte. Tiada pengiklanan.","draft"
"privacy.center_help","","Review the documents that govern Ethan's Chess or change optional analytics at any time.","Tinjau dokumen yang mengatur Catur Ethan atau ubah analitik opsional kapan saja.","Semak dokumen yang mengawal Catur Ethan atau ubah analitik pilihan pada bila-bila masa.","draft"
"privacy.contact_prefix","","For safety, account, privacy, or gameplay concerns, email","Untuk masalah keamanan, akun, privasi, atau permainan, kirim email ke","Untuk isu keselamatan, akaun, privasi atau permainan, e-mel","draft"
"privacy.support_contact","","Support & Contact","Dukungan & Kontak","Sokongan & Hubungan","draft"
"privacy.analytics_choice","","Share device, session, referral, and gameplay events with AccelByte to improve the game. This is not used for advertising.","Bagikan peristiwa perangkat, sesi, rujukan, dan permainan dengan AccelByte untuk meningkatkan permainan. Data ini tidak digunakan untuk iklan.","Kongsi peristiwa peranti, sesi, rujukan dan permainan dengan AccelByte untuk menambah baik permainan. Ini tidak digunakan untuk pengiklanan.","draft"
"toast.invite_join_help","","They're ready to play — check your Friends panel.","Mereka siap bermain — periksa panel Temanmu.","Mereka sedia bermain — semak panel Rakan anda.","draft"
"family.child_intro_before","","Create a protected account for your child. You keep the sign-in details; password resets go to ","Buat akun terlindungi untuk anak Anda. Anda menyimpan detail masuk; pengaturan ulang kata sandi dikirim ke ","Cipta akaun dilindungi untuk anak anda. Anda menyimpan butiran log masuk; tetapan semula kata laluan dihantar ke ","draft"
"family.child_intro_emphasis","","your","email Anda","e-mel anda","draft"
"family.child_intro_after",""," email.",".",".","draft"
"common.this_week_lower","","This week","Minggu ini","Minggu ini","draft"
"meta.og_title","","Ethan's Chess — Play with Friends","Catur Ethan — Main bersama Teman","Catur Ethan — Main bersama Rakan","draft"
"meta.og_description","","Real-time multiplayer chess with friends and family, anywhere in the world. Leaderboards, video chat, random matchmaking — free.","Catur multipemain waktu nyata bersama teman dan keluarga di mana pun. Papan peringkat, obrolan video, pencarian lawan acak — gratis.","Catur berbilang pemain masa nyata bersama rakan dan keluarga di mana-mana sahaja. Papan pendahulu, sembang video, pencarian lawan rawak — percuma.","draft"
"meta.twitter_description","","Real-time multiplayer chess with friends and family, anywhere in the world.","Catur multipemain waktu nyata bersama teman dan keluarga di mana pun.","Catur berbilang pemain masa nyata bersama rakan dan keluarga di mana-mana sahaja.","draft"
"a11y.leaderboard_range","","Leaderboard time range","Rentang waktu papan peringkat","Julat masa papan pendahulu","draft"
"a11y.profile_sections","","Profile sections","Bagian profil","Bahagian profil","draft"
"a11y.chess_stats","","Chess stats","Statistik catur","Statistik catur","draft"
"a11y.player_connection","","Player connection","Koneksi pemain","Hubungan pemain","draft"
"a11y.filter_result","","Filter by result","Filter berdasarkan hasil","Tapis mengikut keputusan","draft"
"a11y.filter_color","","Filter by color","Filter berdasarkan warna","Tapis mengikut warna","draft"
"a11y.filter_mode","","Filter by mode","Filter berdasarkan mode","Tapis mengikut mod","draft"
"a11y.history_pages","","Match history pages","Halaman riwayat pertandingan","Halaman sejarah perlawanan","draft"
"a11y.history_previous","","Previous match history page","Halaman riwayat pertandingan sebelumnya","Halaman sejarah perlawanan sebelumnya","draft"
"a11y.history_next","","Next match history page","Halaman riwayat pertandingan berikutnya","Halaman sejarah perlawanan seterusnya","draft"
"a11y.journal_range","","Journal time range","Rentang waktu jurnal","Julat masa jurnal","draft"
"a11y.gus_details","","Gambit Gus details","Detail Gambit Gus","Butiran Gambit Gus","draft"
"a11y.documents_reviewed","","Documents reviewed","Dokumen ditinjau","Dokumen disemak","draft"
"a11y.close_document","","Close document","Tutup dokumen","Tutup dokumen","draft"
"a11y.setup_one","","Game setup, step 1 of 3","Pengaturan permainan, langkah 1 dari 3","Persediaan permainan, langkah 1 daripada 3","draft"
"a11y.setup_two","","Game setup, step 2 of 3","Pengaturan permainan, langkah 2 dari 3","Persediaan permainan, langkah 2 daripada 3","draft"
"a11y.setup_three","","Game setup, step 3 of 3","Pengaturan permainan, langkah 3 dari 3","Persediaan permainan, langkah 3 daripada 3","draft"
"a11y.material","","Material balance","Keseimbangan materi","Keseimbangan material","draft"
"a11y.black_time","","Black time used","Waktu yang digunakan Hitam","Masa yang digunakan Hitam","draft"
"a11y.white_time","","White time used","Waktu yang digunakan Putih","Masa yang digunakan Putih","draft"
"a11y.match_controls","","Match information and controls","Informasi dan kontrol pertandingan","Maklumat dan kawalan perlawanan","draft"
"a11y.match_panel","","Match panel","Panel pertandingan","Panel perlawanan","draft"
"a11y.start","","Start","Mulai","Mula","draft"
"a11y.previous_move","","Previous move","Langkah sebelumnya","Langkah sebelumnya","draft"
"a11y.next_move","","Next move","Langkah berikutnya","Langkah seterusnya","draft"
"a11y.end","","End","Akhir","Tamat","draft"
"placeholder.safety_details","","Do not include passwords or other sensitive information.","Jangan sertakan kata sandi atau informasi sensitif lainnya.","Jangan sertakan kata laluan atau maklumat sensitif lain.","draft"
"a11y.video_call","","Video call","Panggilan video","Panggilan video","draft"
"a11y.enlarge_call","","Enlarge call window","Perbesar jendela panggilan","Besarkan tetingkap panggilan","draft"
"a11y.resize_call","","Resize call window","Ubah ukuran jendela panggilan","Ubah saiz tetingkap panggilan","draft"
"a11y.remote_video","","Other player video","Video pemain lain","Video pemain lain","draft"
"a11y.local_video","","Your camera preview","Pratinjau kameramu","Pratonton kamera anda","draft"
"a11y.call_microphone","","Call microphone","Mikrofon panggilan","Mikrofon panggilan","draft"
"a11y.call_camera","","Call camera","Kamera panggilan","Kamera panggilan","draft"
"a11y.mute_mic","","Mute mic","Bisukan mikrofon","Senyapkan mikrofon","draft"
"a11y.toggle_camera","","Toggle camera","Aktifkan/nonaktifkan kamera","Hidupkan/matikan kamera","draft"
"a11y.call_devices","","Call devices","Perangkat panggilan","Peranti panggilan","draft"
"a11y.choose_devices","","Choose microphone and camera","Pilih mikrofon dan kamera","Pilih mikrofon dan kamera","draft"
